Story ID	Area	Feature	User story	Expected behavior	Code refs	Automated coverage	Test status	Defect status	Priority	Notes
JUN-001	Account gates	Sign-in gate	As a signed-out user, I want June to block the main app until I sign in so my account-backed features are tied to an OS Accounts identity.	App shows the sign-in gate while account status is signed out, starts OS Accounts login from the primary action, cancels cleanly when needed, and does not flash the gate while loading.	src/app/App.tsx; src/components/account/AccountGate.tsx; src/lib/account-gate.ts; src-tauri/src/os_accounts.rs	src/test/app-shortcut.test.tsx; src/test/account-gate.test.ts; src/test/app-settings.test.tsx	Automated pass; browser smoke pass; live account manual pending	None logged	P0	Inventory from code. Headless Chrome rendered the sign-in/onboarding gate at http://127.0.0.1:1421/. Mocked settings tests cover sign-in start, cancel, and sign-out actions; live OS Accounts login/callback still needs a signed-in account/environment.
JUN-002	Account gates	Funding gate	As a signed-in user with no spendable credits, I want June to send me to account funding without asking for a card before first use.	App lets signed-in users with starting credits enter the product, blocks only known zero-credit accounts without a live subscription, opens OS Accounts for credits or billing, and refreshes account state after portal updates.	src/app/App.tsx; src/components/account/FundingNotice.tsx; src/components/account/AccountSettings.tsx; src/lib/account-gate.ts; src-tauri/src/os_accounts.rs	src/test/account-gate.test.ts; src/test/funding-notice.test.tsx; src/test/onboarding.test.tsx	Automated pass; live account manual pending	None logged	P0	Automated tests cover credit-based funding decisions, the add-credits gate, past-due billing, portal reopen/check flows, sign-out, polling, and onboarding absence of card-trial prompts. Live OS Accounts funding completion still needs a signed-in account/environment.
JUN-003	Account	Login callback and logout	As a user, I want login, callback handling, cancellation, and logout to be reliable.	OS Accounts login opens the auth flow, deep-link callback stores tokens, cancel stops an in-flight flow, logout clears local auth and returns to signed-out behavior.	src-tauri/src/os_accounts.rs; src/lib/tauri.ts; src/app/App.tsx	src/test/app-shortcut.test.tsx; src/test/app-settings.test.tsx	Automated pass; live account manual pending	None logged	P0	Mocked settings tests cover login start, cancellation, logout, and local account state updates. Live OS Accounts callback/token persistence still needs a signed-in account/environment.
JUN-004	Account	Billing settings	As a signed-in user, I want to see billing status and manage credits or subscription details.	Billing settings show account status, balance or membership state where available, Add funds opens OS Accounts credit funding, portal opens account management, and refresh updates account state.	src/components/account/AccountSettings.tsx; src/lib/tauri.ts; src-tauri/src/os_accounts.rs	src/test/app-settings.test.tsx; src/test/folders-workspace.test.tsx	Automated pass; live account manual pending	None logged	P0	Mocked settings tests cover Add funds, Manage subscription, Refresh balance, and local-dev hiding. Live OS Accounts funding completion still needs a signed-in environment.
JUN-005	Account	Referral invite	As a signed-in user, I want to copy my referral link so I can invite people.	Identity menu opens the referral dialog, loads summary, handles unavailable referral endpoints calmly, copies the invite link, and shows copied feedback.	src/components/sidebar/Sidebar.tsx; src-tauri/src/os_accounts.rs	src/test/folders-workspace.test.tsx	Automated pass; live account manual pending	None logged	P2	Mocked sidebar tests cover the invite dialog, link copy, unavailable referral deployments, and local-dev hiding. Live referral link issuance still needs a signed-in OS Accounts environment.
JUN-006	Onboarding	Setup flow	As a first-time user, I want onboarding to walk me through sign-in, permissions, and practice without a payment step.	Onboarding chooses required steps from account, platform, and shortcut state; supports Back/Next; persists completion; can resume or replay a requested step; and never opens checkout or portal funding before practice.	src/components/onboarding/OnboardingFlow.tsx; src/components/onboarding/steps/SignInStep.tsx; src/components/onboarding/steps/PermissionSteps.tsx; src/components/onboarding/steps/PracticeStep.tsx; src/lib/onboarding.ts	src/test/onboarding.test.tsx; src/test/app-shortcut.test.tsx	Automated pass; browser smoke pass	None logged	P0	Headless Chrome smoke passed for /onboarding-preview.html and /; automated coverage asserts unsubscribed users reach practice without trial/card prompts or portal handoff. Typographic dash scan found only comments/dev demo strings after the copy fix.
JUN-007	Onboarding	Permission setup	As a user, I want clear microphone, accessibility, and system-audio setup so recording and dictation can work.	Permission steps show current status, request privacy settings panes, defer system audio until needed where code says so, and continue once permissions are satisfied or intentionally skipped.	src/components/onboarding/steps/PermissionSteps.tsx; src/components/onboarding/use-permission-status.ts; src/app/App.tsx; src-tauri/src/commands.rs	src/test/onboarding.test.tsx; src/test/app-permissions.test.ts	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Manual proof requires macOS permissions. Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-008	Navigation	Primary sidebar navigation	As a user, I want persistent navigation to agent, meeting notes, projects, dictation, routines, sessions, and settings.	Sidebar shows primary nav, active state, settings footer, recent notes and sessions, and routes selected items to the expected workspace.	src/components/sidebar/Sidebar.tsx; src/app/App.tsx	src/test/folders-workspace.test.tsx; src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Includes collapsed state later in tracker. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-009	Navigation	Command palette	As a keyboard user, I want Command-K or Ctrl-K to open search and quick actions.	Command palette opens unless a dialog is active, searches recent notes/sessions and quick actions, supports keyboard selection, and closes after an action.	src/components/sidebar/Sidebar.tsx; src/lib/platform.ts	src/test/folders-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-010	Navigation	Browser-style tabs	As a multitasking user, I want tabs to preserve each view and selected entity.	Tabs open to a new agent session by default, preserve note/project/session nav snapshots, can close/switch, and update titles when entities rename.	src/app/App.tsx; src/app/tabs/tabs.ts; src/components/tabs/TabBar.tsx	src/test/tabs.test.ts; src/test/tab-bar.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
